,sentence,term,polarity,from,to,ln
1076,The bagels are also reasonably priced for NYC.,"['bagels', 'priced']","['positive', 'positive']","['4', '31']","['10', '37']","[6, 6]"
1077,The bagels are fabulous.,['bagels'],['positive'],['4'],['10'],[6]
1078,The banana tower is an amazing dessert as well.,"['banana tower', 'dessert']","['positive', 'positive']","['4', '31']","['16', '38']","[12, 7]"
1079,The bar has various selections and the mixed drink special is a catcher! 2 for 1's.,"['bar', 'mixed drink special']","['positive', 'positive']","['4', '39']","['7', '58']","[3, 19]"
1080,The bar is very well stocked with interesting beers and well priced wines.,"['bar', 'beers', 'wines', 'priced']","['positive', 'positive', 'positive', 'positive']","['4', '46', '68', '61']","['7', '51', '73', '67']","[3, 5, 5, 6]"
1081,The barebecued salmon is elegantly spiced and not at all dry.,['barebecued salmon'],['positive'],['4'],['21'],[17]
1082,The bartender on my most recent visit was so incredibly rude that I will never go back.,['bartender'],['negative'],['4'],['13'],[9]
1083,"The best Chicken pad tai, I've ever had.",['Chicken pad tai'],['positive'],['9'],['24'],[15]
1084,The best burger I have had in the Village.,['burger'],['positive'],['9'],['15'],[6]
1085,The best pad thai i've ever had.,['pad thai'],['positive'],['9'],['17'],[8]
1086,"The best part of the experience was knowing that the manager (a bubbly, friendly young woman with a great smile) truly cared about how we were doing.",['manager'],['positive'],['53'],['60'],[7]
1087,The best thing I tasted were the lambchops.,['lambchops'],['positive'],['33'],['42'],[9]
1088,"The beverages were excellent, and the dessert was good.","['beverages', 'dessert']","['positive', 'positive']","['4', '38']","['13', '45']","[9, 7]"
1089,The bill is approximately $25 for 2 at lunch without drinks.,"['bill', 'lunch', 'drinks']","['neutral', 'neutral', 'neutral']","['4', '39', '53']","['8', '44', '59']","[4, 5, 6]"
1090,"The blond wood decor is very soothing, the premium sake is excellent and the service is great.","['blond wood decor', 'sake', 'service']","['positive', 'positive', 'positive']","['4', '51', '77']","['20', '55', '84']","[16, 4, 7]"
1091,"The bread and lamb chops I had before the meal were quite good, however.","['bread', 'lamb chops', 'meal']","['positive', 'positive', 'neutral']","['4', '14', '42']","['9', '24', '46']","[5, 10, 4]"
1092,"The bread is the soft paratha bread (unlike the plain bread they use in Calcutta), and the stuffing is tandoori styled and very flavorful.","['bread', 'paratha bread', 'bread', 'stuffing', 'tandoori']","['positive', 'positive', 'negative', 'positive', 'positive']","['4', '22', '54', '91', '103']","['9', '35', '59', '99', '111']","[5, 13, 5, 8, 8]"
1093,The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,"['brioche and lollies', 'meal']","['positive', 'positive']","['4', '86']","['23', '90']","[19, 4]"
1094,"The bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen.","['bruscetta', 'salads', 'dishes', 'mix of greens', 'iceberg', 'served']","['negative', 'positive', 'positive', 'positive', 'neutral', 'positive']","['4', '38', '105', '73', '92', '116']","['13', '44', '111', '86', '99', '122']","[9, 6, 6, 13, 7, 6]"
1095,The bruschetta and panini's are so yummy!,"['bruschetta', 'panini']","['positive', 'positive']","['4', '19']","['14', '25']","[10, 6]"
1096,The buffet had a nice selection.,"['buffet', 'selection']","['positive', 'positive']","['4', '22']","['10', '31']","[6, 9]"
1097,"The burger was great, also.",['burger'],['positive'],['4'],['10'],[6]
1098,"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.","['cafe', 'outdoor chairs', 'tables', 'service']","['positive', 'positive', 'positive', 'negative']","['4', '49', '68', '84']","['8', '63', '74', '91']","[4, 14, 6, 7]"
1099,"The calamari comes with an incredible sauce, and the duck noodles are yummy as well.","['calamari', 'sauce', 'duck noodles']","['positive', 'positive', 'positive']","['4', '38', '53']","['12', '43', '65']","[8, 5, 12]"
1100,The ceiling is amazing!,['ceiling'],['positive'],['4'],['11'],[7]
1101,"The chicken and steak were seasoned and cooked to perfection, and the lamb sandwhich is great for heartier appetites.","['chicken', 'steak', 'lamb sandwhich']","['positive', 'positive', 'positive']","['4', '16', '70']","['11', '21', '84']","[7, 5, 14]"
1102,"The chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry, inedible chicken with terrible sauce.","['chicken parm', 'chicken with portobello mushrooms', 'chicken', 'tomato sauce', 'pasta', 'sauce']","['conflict', 'negative', 'negative', 'negative', 'negative', 'negative']","['4', '80', '141', '43', '66', '163']","['16', '113', '148', '55', '71', '168']","[12, 33, 7, 12, 5, 5]"
1103,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.","['The chicken pot pie', 'cheeseburger', 'service']","['positive', 'positive', 'positive']","['0', '39', '81']","['19', '51', '88']","[19, 12, 7]"
1104,The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.,['cold appetizer dishes'],['positive'],['4'],['25'],[21]
1105,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.","['fresh tomato sauce', 'fresh mozz cheese', 'basil', 'dough', 'pizza', 'flour']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']","['19', '39', '58', '72', '141', '102']","['37', '56', '63', '77', '146', '107']","[18, 17, 5, 5, 5, 5]"
1106,"The corned beef and pastrami are excellent, much less fatty than those big tourist places around Times Square.","['corned beef', 'pastrami']","['positive', 'positive']","['4', '20']","['15', '28']","[11, 8]"
1107,The corned beef was tender and melted in my mouth.,['corned beef'],['positive'],['4'],['15'],[11]
1108,The counter service is bad.,['counter service'],['negative'],['4'],['19'],[15]
1109,"The crackling calamari salad, which is usually a cheap disaster at many restaurants, is crispy and lightly dressed.",['crackling calamari salad'],['positive'],['4'],['28'],[24]
1110,The cream cheeses are out of this world and I love that coffee!!,"['cream cheeses', 'coffee']","['positive', 'positive']","['4', '56']","['17', '62']","[13, 6]"
1111,"The crispy chicken wasn't for us, though.",['crispy chicken'],['negative'],['4'],['18'],[14]
1112,"The crust is thin, the ingredients are fresh and the staff is friendly.","['crust', 'staff', 'ingredients']","['positive', 'positive', 'positive']","['4', '53', '23']","['9', '58', '34']","[5, 5, 11]"
1113,"The cuisine from what I've gathered is authentic Taiwanese, though its very different from what I've been accustomed to in Taipei.",['cuisine'],['neutral'],['4'],['11'],[7]
1114,"The decor in this place is very diner-ish and the kind of place you expect in the East Village - not romantic, just simple, small and sparse.","['decor', 'place']","['positive', 'positive']","['4', '58']","['9', '63']","[5, 5]"
1115,"The decor is dark, cool and soothing, while the food's presentation is spectacular, considering the low prices.","['decor', 'prices', ""food's presentation""]","['positive', 'positive', 'positive']","['4', '104', '48']","['9', '110', '67']","[5, 6, 19]"
1116,"The decor is nice, but more casual than fine dining.",['decor'],['conflict'],['4'],['9'],[5]
1117,"The decor is really blah, and not at all hip or happening.",['decor'],['negative'],['4'],['9'],[5]
1118,The decor is very simple but comfortable.,['decor'],['conflict'],['4'],['9'],[5]
1119,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.","['decor', 'dining hall', 'semi-private boths']","['positive', 'positive', 'positive']","['4', '95', '51']","['9', '106', '69']","[5, 11, 18]"
1120,The design and atmosphere is just as good.,"['design', 'atmosphere']","['positive', 'positive']","['4', '15']","['10', '25']","[6, 10]"
1121,The desserts are more appealing then stuffy overpriced French restaurants.,['desserts'],['positive'],['4'],['12'],[8]
1122,The dim sum here is only so-so.,['dim sum'],['neutral'],['4'],['11'],[7]
1123,The dim sum however was very good.,['dim sum'],['positive'],['4'],['11'],[7]
1124,The dim sum is delectable while the prices are quite easy on the wallet.,"['dim sum', 'prices']","['positive', 'positive']","['4', '36']","['11', '42']","[7, 6]"
1125,"The dim sum is ok but doesn't taste that fresh, and the little dishes don't look steamy hot as they should (also note lack of Chinese here).","['dim sum', 'little dishes']","['negative', 'negative']","['4', '56']","['11', '69']","[7, 13]"
1126,The dim sum servings here are a bit larger than I'm used to.,['dim sum servings'],['neutral'],['4'],['20'],[16]
1127,The dining room is quietly elegant with no music to shout over -- how refreshing!,"['dining room', 'music']","['positive', 'positive']","['4', '43']","['15', '48']","[11, 5]"
1128,The dinner menu is diverse and top-notch as well.,['dinner menu'],['positive'],['4'],['15'],[11]
1129,"The dinner was ok, nothing I would have again.",['dinner'],['negative'],['4'],['10'],[6]
1130,The dish had like 6 pieces of beef in it.,"['dish', 'beef']","['neutral', 'neutral']","['4', '30']","['8', '34']","[4, 4]"
1131,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).","['dishes', 'lamb sausages', 'sardines with biscuits', 'large whole shrimp', 'pistachio ice cream']","['positive', 'positive', 'positive', 'positive', 'positive']","['4', '62', '77', '101', '135']","['10', '75', '99', '119', '154']","[6, 13, 22, 18, 19]"
1132,"The dosas are skimpy, unattractive and drip with grease, and personally I'd drink popcorn topping before I'd eat another one of these.","['dosas', 'popcorn topping']","['negative', 'neutral']","['4', '82']","['9', '97']","[5, 15]"
1133,"The drinks are a saving grace, but service staff, please, get over yourselves.","['drinks', 'service staff']","['positive', 'negative']","['4', '35']","['10', '48']","[6, 13]"
1134,The drinks are always welll made and wine selection is fairly priced.,"['drinks', 'wine selection', 'priced']","['positive', 'neutral', 'positive']","['4', '37', '62']","['10', '51', '68']","[6, 14, 6]"
1135,The duck confit is always amazing and the foie gras terrine with figs was out of this world.,"['foie gras terrine with figs', 'duck confit']","['positive', 'positive']","['42', '4']","['69', '15']","[27, 11]"
1136,"The eggplant parmesan is also great, and my friend who grew up in Manhattan claims that no one serves a better baked ziti with meatsauce.","['eggplant parmesan', 'baked ziti with meatsauce', 'serves']","['positive', 'positive', 'positive']","['4', '111', '95']","['21', '136', '101']","[17, 25, 6]"
1137,The entertainment was great they have shows that go on through out the dinner.,"['shows', 'dinner', 'entertainment']","['positive', 'neutral', 'positive']","['38', '71', '4']","['43', '77', '17']","[5, 6, 13]"
1138,The entire dining experience was wonderful!,['dining experience'],['positive'],['11'],['28'],[17]
1139,The entire place and the treatment we received felt as a conveyor belt.,['place'],['negative'],['11'],['16'],[5]
1140,"The entree was bland and small, dessert was not inspired.","['entree', 'dessert']","['negative', 'negative']","['4', '32']","['10', '39']","[6, 7]"
1141,"The environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.","['environment', 'food', 'service']","['positive', 'negative', 'negative']","['4', '37', '59']","['15', '41', '66']","[11, 4, 7]"
1142,The establishment scores big points in presentation and style.,['establishment'],['positive'],['4'],['17'],[13]
1143,The exotic food is beautifully presented and is a delight in delicious combinations.,['exotic food'],['positive'],['4'],['15'],[11]
1144,The filet mignon dish was superb!,['filet mignon dish'],['positive'],['4'],['21'],[17]
1145,The fillings may be unconventional but the dosa batter is definitely authentic and the combinations very tasty.,"['fillings', 'dosa batter']","['neutral', 'positive']","['4', '43']","['12', '54']","[8, 11]"
1146,"The first 2 courses were very good, but the chocolate sampler was too rich for me and the dessert wine far too sweet.","['courses', 'chocolate sampler', 'dessert wine']","['positive', 'negative', 'negative']","['12', '44', '90']","['19', '61', '102']","[7, 17, 12]"
1147,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.","['live jazz band', 'atmosphere', 'Lobster Cobb Salad']","['positive', 'positive', 'neutral']","['55', '74', '100']","['69', '84', '118']","[14, 10, 18]"
1148,"The first time the sushi was outstanding, the second time it was a little bland.",['sushi'],['conflict'],['19'],['24'],[5]
1149,The fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef (usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt).,"['fish', 'sushi chef', 'wasabi', 'soy sauce', 'sea salt']","['positive', 'positive', 'positive', 'positive', 'positive']","['4', '77', '117', '128', '167']","['8', '87', '123', '137', '175']","[4, 10, 6, 9, 8]"
1150,The fish is fresh but the variety of fish is nothing out of ordinary.,"['fish', 'variety of fish']","['positive', 'negative']","['4', '26']","['8', '41']","[4, 15]"
1151,"The fish was adequate, but inexpertly sliced.",['fish'],['conflict'],['4'],['8'],[4]
1152,The fish was not fresh and the rice tasted old and stale.,"['fish', 'rice']","['negative', 'negative']","['4', '31']","['8', '35']","[4, 4]"
1153,"The flavors are great, and the menu is extensive.","['flavors', 'menu']","['positive', 'positive']","['4', '31']","['11', '35']","[7, 4]"
1154,"The flavors are very fresh and pretty inobtrusive, nothing flashy.",['flavors'],['positive'],['4'],['11'],[7]
1155,The flavors robust and subtle.,['flavors'],['positive'],['4'],['11'],[7]
1156,The food always tastes fresh and served promptly.,"['food', 'served']","['positive', 'positive']","['4', '33']","['8', '39']","[4, 6]"
1157,The food and staff always surprise me with the new heights they are taken to.,"['food', 'staff']","['positive', 'positive']","['4', '13']","['8', '18']","[4, 5]"
1158,"The food arrived 20 minutes after I called, cold and soggy.",['food'],['negative'],['4'],['8'],[4]
1159,The food at this place is 'gourmet' Indian cuisine.,"['food', ""'gourmet' Indian cuisine""]","['neutral', 'neutral']","['4', '26']","['8', '50']","[4, 24]"
1160,"The food came out wrong, the waiter was no where to be found and the wine showed up at the end of the meal.","['food', 'waiter', 'wine', 'meal']","['negative', 'negative', 'negative', 'neutral']","['4', '29', '69', '102']","['8', '35', '73', '106']","[4, 6, 4, 4]"
1161,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,"['food', 'food', 'price', 'food', 'food', 'food']","['conflict', 'positive', 'positive', 'positive', 'neutral', 'negative']","['4', '72', '88', '113', '125', '143']","['8', '76', '93', '117', '129', '147']","[4, 4, 5, 4, 4, 4]"
1162,The food has been consistant for years and it never lets you down.,['food'],['positive'],['4'],['8'],[4]
1163,The food here does a great service to the name (Cantonese that is...).,"['food', 'Cantonese']","['positive', 'positive']","['4', '48']","['8', '57']","[4, 9]"
1164,"The food here is rather good, but only if you like to wait for it.",['food'],['positive'],['4'],['8'],[4]
1165,"The food however, is what one might expect.",['food'],['neutral'],['4'],['8'],[4]
1166,"The food inludes famous scrumptious bombay style chaat such as bhelpuri, sevpuri and samosa chaats, as well as other great indian appetizers.","['food', 'bhelpuri', 'sevpuri', 'samosa chaats', 'indian appetizers', 'bombay style chaat']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']","['4', '63', '73', '85', '123', '36']","['8', '71', '80', '98', '140', '54']","[4, 8, 7, 13, 17, 18]"
1167,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,"['food', 'food', 'herbs', 'tomatoes']","['positive', 'positive', 'positive', 'positive']","['4', '38', '97', '107']","['8', '42', '102', '115']","[4, 4, 5, 8]"
1168,The food is above average for midtown and sligtly better than some of the other Heartland Breweries in the city.,['food'],['positive'],['4'],['8'],[4]
1169,The food is alright - some stuff is good - some is not (like the steak dish which tends to be dry).,"['food', 'steak dish']","['conflict', 'negative']","['4', '65']","['8', '75']","[4, 10]"
1170,The food is amazing!!!!,['food'],['positive'],['4'],['8'],[4]
1171,"The food is amazing, rich pastas and fresh doughy pizza.","['food', 'pastas', 'pizza']","['positive', 'positive', 'positive']","['4', '26', '50']","['8', '32', '55']","[4, 6, 5]"
1172,The food is authentic Italian - delicious!,['food'],['positive'],['4'],['8'],[4]
1173,The food is awesome - definitely try the striped bass.,"['food', 'striped bass']","['positive', 'positive']","['4', '41']","['8', '53']","[4, 12]"
1174,"The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.","['food', 'owner']","['positive', 'positive']","['4', '78']","['8', '83']","[4, 5]"
1175,"The food is decent at best, and the ambience, well, it's a matter of opinion, some may consider it to be a sweet thing, I thought it was just annoying.","['food', 'ambience']","['neutral', 'conflict']","['4', '36']","['8', '44']","[4, 8]"
1176,"The food is definitely good, but I left a bit disappointed.",['food'],['positive'],['4'],['8'],[4]
1177,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.","['food', 'dishes', 'specials', 'regular menu-fare']","['positive', 'positive', 'positive', 'positive']","['4', '72', '33', '49']","['8', '78', '41', '66']","[4, 6, 8, 17]"
1178,The food is delicious and beautifully prepared along with the friendly and personable service.,"['food', 'service']","['positive', 'positive']","['4', '86']","['8', '93']","[4, 7]"
1179,The food is delicious.,['food'],['positive'],['4'],['8'],[4]
1180,"The food is expensive, but worth every bite.",['food'],['conflict'],['4'],['8'],[4]
1181,"The food is fresh, delicious, and reasonably priced.","['food', 'priced']","['positive', 'positive']","['4', '45']","['8', '51']","[4, 6]"
1182,"The food is good, I can't lie.",['food'],['positive'],['4'],['8'],[4]
1183,"The food is good, but very expensive for the casualness of it.",['food'],['conflict'],['4'],['8'],[4]
1184,"The food is good, especially their more basic dishes, and the drinks are delicious.","['food', 'dishes', 'drinks']","['positive', 'positive', 'positive']","['4', '46', '62']","['8', '52', '68']","[4, 6, 6]"
1185,The food is great and authentic.,['food'],['positive'],['4'],['8'],[4]
1186,The food is great and reasonably priced.,"['food', 'priced']","['positive', 'positive']","['4', '33']","['8', '39']","[4, 6]"
1187,The food is great and they have a good selecion of wines at reasonable prices.,"['food', 'selecion of wines', 'prices']","['positive', 'positive', 'positive']","['4', '39', '71']","['8', '56', '77']","[4, 17, 6]"
1188,"The food is great, service is ok.","['food', 'service']","['positive', 'neutral']","['4', '19']","['8', '26']","[4, 7]"
1189,The food is great.,['food'],['positive'],['4'],['8'],[4]
1190,The food is inventive but still keeps traditional indian flavoring.,['food'],['positive'],['4'],['8'],[4]
1191,"The food is mostly made from scratch, fresh and well prepared.",['food'],['positive'],['4'],['8'],[4]
1192,The food is nothing like its menu description.,"['food', 'menu description']","['negative', 'negative']","['4', '29']","['8', '45']","[4, 16]"
1193,"The food is o.k., but not any better than what you get at a good neighborhood restaurant.",['food'],['neutral'],['4'],['8'],[4]
1194,The food is okay and the prices here are mediocre.,"['food', 'prices']","['neutral', 'neutral']","['4', '25']","['8', '31']","[4, 6]"
1195,"The food is outstanding and the service is quick, friendly and very professional.","['food', 'service']","['positive', 'positive']","['4', '32']","['8', '39']","[4, 7]"
1196,The food is prepared quickly and efficiently.,['food'],['positive'],['4'],['8'],[4]
1197,The food is reliable and the price is moderate.,"['food', 'price']","['positive', 'neutral']","['4', '29']","['8', '34']","[4, 5]"
1198,The food is so cheap and the waiters are nice.,"['food', 'waiters']","['positive', 'positive']","['4', '29']","['8', '36']","[4, 7]"
1199,"The food is spectacular, from the appitizers to the main course, and then of course the desserts, (WOW) you'll need no more.","['food', 'appitizers', 'main course', 'desserts']","['positive', 'positive', 'positive', 'positive']","['4', '34', '52', '88']","['8', '44', '63', '96']","[4, 10, 11, 8]"
1200,The food is tasty and portion sizes are appropriate.,"['food', 'portion sizes']","['positive', 'positive']","['4', '22']","['8', '35']","[4, 13]"
1201,"The food is terrible and overall, I would have to say avoid at all costs.",['food'],['negative'],['4'],['8'],[4]
1202,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","['food', 'kitchen', 'menu']","['positive', 'positive', 'neutral']","['4', '55', '141']","['8', '62', '145']","[4, 7, 4]"
1203,The food is usually good but it certainly isn't a relaxing place to go.,"['food', 'place']","['positive', 'negative']","['4', '59']","['8', '64']","[4, 5]"
1204,"The food is very good for it's price, better than most fried dumplings I've had.","['food', 'price', 'fried dumplings']","['positive', 'positive', 'negative']","['4', '31', '55']","['8', '36', '70']","[4, 5, 15]"
1205,"The food is very good too but for the most part, it's just regular food, nothing special.","['food', 'food']","['positive', 'neutral']","['4', '67']","['8', '71']","[4, 4]"
1206,"The food is wonderful, tasty and filling, and the service is professional and friendly.","['food', 'service']","['positive', 'positive']","['4', '50']","['8', '57']","[4, 7]"
1207,"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.","['food', 'mussels in spicy tomato sauce', 'fries']","['positive', 'positive', 'positive']","['4', '57', '115']","['8', '86', '120']","[4, 29, 5]"
1208,The food itself was just ok - nothing spectacular - but the service was awful.,"['food', 'service']","['neutral', 'negative']","['4', '60']","['8', '67']","[4, 7]"
1209,The food looked very appetizing and delicious since it came on a variety of fancy plates.,"['food', 'plates']","['positive', 'positive']","['4', '82']","['8', '88']","[4, 6]"
1210,The food now is inconsistent.,['food'],['negative'],['4'],['8'],[4]
1211,The food options rule.,['food options'],['positive'],['4'],['16'],[12]
1212,The food there are sastifying.,['food'],['positive'],['4'],['8'],[4]
1213,The food there is so good that even to order out the wait is incredible.,"['food', 'wait']","['positive', 'negative']","['4', '53']","['8', '57']","[4, 4]"
1214,The food was absolutely amazing!!,['food'],['positive'],['4'],['8'],[4]
1215,The food was absolutely horrible!,['food'],['negative'],['4'],['8'],[4]
1216,The food was actually aweful.,['food'],['negative'],['4'],['8'],[4]
1217,"The food was amazing, and the service was prompt and helpful, but not over-bearing or rushed.","['food', 'service']","['positive', 'positive']","['4', '30']","['8', '37']","[4, 7]"
1218,"The food was amazing, the service was so attentive and personable, and how about that ambience!","['food', 'service', 'ambience']","['positive', 'positive', 'positive']","['4', '26', '86']","['8', '33', '94']","[4, 7, 8]"
1219,The food was authentic.,['food'],['positive'],['4'],['8'],[4]
1220,The food was average or above including some surprising tasty dishes.,"['food', 'dishes']","['positive', 'positive']","['4', '62']","['8', '68']","[4, 6]"
1221,"The food was below average, the service was pathetic, there was no ambience at all.","['food', 'service', 'ambience']","['negative', 'negative', 'negative']","['4', '32', '67']","['8', '39', '75']","[4, 7, 8]"
1222,The food was bland oily.,['food'],['negative'],['4'],['8'],[4]
1223,The food was boring and expensive.,['food'],['negative'],['4'],['8'],[4]
1224,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.","['food', 'halibut special', 'steak', 'service']","['positive', 'positive', 'positive', 'positive']","['4', '32', '64', '80']","['8', '47', '69', '87']","[4, 15, 5, 7]"
1225,The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).,"['food', 'waiter']","['positive', 'positive']","['4', '31']","['8', '37']","[4, 6]"
1226,The food was delicious but do not come here on a empty stomach.,['food'],['conflict'],['4'],['8'],[4]
1227,"The food was delicious, the atmosphere was relaxed, and we have now adopted Plate 347 as our Secret on Second!","['food', 'atmosphere']","['positive', 'positive']","['4', '28']","['8', '38']","[4, 10]"
1228,The food was exceptional.,['food'],['positive'],['4'],['8'],[4]
1229,The food was good too.,['food'],['positive'],['4'],['8'],[4]
1230,The food was good.,['food'],['positive'],['4'],['8'],[4]
1231,The food was great and the service was even better.,"['food', 'service']","['positive', 'positive']","['4', '27']","['8', '34']","[4, 7]"
1232,The food was great.,['food'],['positive'],['4'],['8'],[4]
1233,"The food was just OK, I would never go back.",['food'],['neutral'],['4'],['8'],[4]
1234,"The food was just OK, at least for what food was available.","['food', 'food']","['neutral', 'negative']","['4', '40']","['8', '44']","[4, 4]"
1235,"The food was just awful, ATROCIOUS actually.",['food'],['negative'],['4'],['8'],[4]
1236,The food was lousy - too sweet or too salty and the portions tiny.,"['food', 'portions']","['negative', 'negative']","['4', '52']","['8', '60']","[4, 8]"
1237,The food was mediocre at best but it was the horrible service that made me vow never to go back.,"['food', 'service']","['neutral', 'negative']","['4', '54']","['8', '61']","[4, 7]"
1238,"The food was not fresh, the sauces were bland and very oily.","['food', 'sauces']","['negative', 'negative']","['4', '28']","['8', '34']","[4, 6]"
1239,"The food was not very tasty, the portioins were tiny even for such a high quality restaurant.","['food', 'portioins']","['negative', 'negative']","['4', '33']","['8', '42']","[4, 9]"
1240,"The food was pretty good, but a little flavorless and the portions very small, including dessert.","['food', 'dessert', 'portions']","['conflict', 'negative', 'negative']","['4', '89', '58']","['8', '96', '66']","[4, 7, 8]"
1241,The food was pretty tradional but it was hot and good with large portions.,"['food', 'portions']","['positive', 'positive']","['4', '65']","['8', '73']","[4, 8]"
1242,"The food was really good, I had the onion soup and it was one of the best ever.","['food', 'onion soup']","['positive', 'positive']","['4', '36']","['8', '46']","[4, 10]"
1243,The food was so-so.,['food'],['neutral'],['4'],['8'],[4]
1244,The food was spicy and delicious.,['food'],['positive'],['4'],['8'],[4]
1245,"The food was terrific and the service classy, attentive, without being overbearing.","['food', 'service']","['positive', 'positive']","['4', '30']","['8', '37']","[4, 7]"
1246,The food was very expensive (we spent $160 for lunch for two) but extremely tasty.,"['food', 'lunch']","['conflict', 'negative']","['4', '47']","['8', '52']","[4, 5]"
1247,"The food was very good, a great deal, and the place its self was great.","['food', 'place']","['positive', 'positive']","['4', '46']","['8', '51']","[4, 5]"
1248,"The food was very good, but not very thai.",['food'],['conflict'],['4'],['8'],[4]
1249,The food was very well prepared.,['food'],['positive'],['4'],['8'],[4]
1250,The food was well prepared and the service impecable.,"['food', 'service']","['positive', 'positive']","['4', '35']","['8', '42']","[4, 7]"
1251,The food's as good as ever.,['food'],['positive'],['4'],['8'],[4]
1252,"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine.","['food', 'Thai cuisine', 'flavors']","['positive', 'positive', 'positive']","['4', '90', '20']","['8', '102', '27']","[4, 12, 7]"
1253,"The food, drinks and service are clearly among the best in the city.","['food', 'drinks', 'service']","['positive', 'positive', 'positive']","['4', '10', '21']","['8', '16', '28']","[4, 6, 7]"
1254,"The food, served in small tasting portions (as an option) is very good with each dish being better than the next.","['food', 'served', 'portions', 'dish']","['positive', 'neutral', 'positive', 'positive']","['4', '10', '34', '81']","['8', '16', '42', '85']","[4, 6, 8, 4]"
1255,"The freshest, best variety, and the fastest delivery.","['variety', 'delivery']","['positive', 'positive']","['19', '44']","['26', '52']","[7, 8]"
1256,The fried dumplings are GREAT!,['fried dumplings'],['positive'],['4'],['19'],[15]
1257,The fried rice is amazing here.,['fried rice'],['positive'],['4'],['14'],[10]
1258,The fried rice is really good too.,['fried rice'],['positive'],['4'],['14'],[10]
1259,The fries are yummy.,['fries'],['positive'],['4'],['9'],[5]
1260,The garlic mashed potatoes are hands down the best in the city!,['garlic mashed potatoes'],['positive'],['4'],['26'],[22]
1261,The grilled cheese at home afterwards was better.!!,['grilled cheese'],['positive'],['4'],['18'],[14]
1262,The hanger steak was like rubber and the tuna was flavorless not to mention it tasted like it had just been thawed.,"['hanger steak', 'tuna']","['negative', 'negative']","['4', '41']","['16', '45']","[12, 4]"
1263,"The have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious, if I must recommend a dish it must be the pumkin tortelini.","['beers', 'food', 'pumkin tortelini', 'dish']","['positive', 'positive', 'positive', 'positive']","['28', '98', '160', '140']","['33', '102', '176', '144']","[5, 4, 16, 4]"
1264,"The highlight of the night was the mayonaisse for my side of fries I received from one of the food runners, which is not good considering the bill was nearly $100.","['mayonaisse', 'food runners', 'bill', 'fries']","['negative', 'neutral', 'negative', 'negative']","['35', '94', '142', '61']","['45', '106', '146', '66']","[10, 12, 4, 5]"
1265,The highly spiced chai tea was great too.,['chai tea'],['positive'],['18'],['26'],[8]
1266,The hostess and the waitress were incredibly rude and did everything they could to rush us out.,"['hostess', 'waitress']","['negative', 'negative']","['4', '20']","['11', '28']","[7, 8]"
1267,The hostess is rude to the point of being offensive.,['hostess'],['negative'],['4'],['11'],[7]
1268,The hot and sour soup was unbearably hot and tasted of only pepper and nothing else.,"['soup', 'pepper']","['negative', 'negative']","['17', '60']","['21', '66']","[4, 6]"
1269,The hot dogs were cold in the middle and the buns were stale.,"['hot dogs', 'buns']","['negative', 'negative']","['4', '45']","['12', '49']","[8, 4]"
1270,"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.","['music', 'in-house lady DJ']","['positive', 'positive']","['71', '4']","['76', '20']","[5, 16]"
1271,"The ingredients taste fresher, the crust is thinner and crispier, the slice is less oily, and it's never burnt like it occasionally is at Joe's.","['ingredients', 'crust', 'slice']","['positive', 'positive', 'positive']","['4', '35', '70']","['15', '40', '75']","[11, 5, 5]"
